13:05:22 | start | host: 14145M/95681M (15%) | cache: 5067M | docker: 1.814GiB / 93.44GiB | gpu: 
13:05:33 | running | host: 15214M/95681M (16%) | cache: 5073M | docker: 2.491GiB / 93.44GiB | gpu: 
13:05:44 | running | host: 15145M/95681M (16%) | cache: 5073M | docker: 2.492GiB / 93.44GiB | gpu: 
13:05:56 | running | host: 15102M/95681M (16%) | cache: 5067M | docker: 2.509GiB / 93.44GiB | gpu: 
13:06:07 | running | host: 15087M/95681M (16%) | cache: 5067M | docker: 2.49GiB / 93.44GiB | gpu: 
13:06:18 | running | host: 15078M/95681M (16%) | cache: 5067M | docker: 2.49GiB / 93.44GiB | gpu: 
13:06:29 | running | host: 15417M/95681M (16%) | cache: 5071M | docker: 2.49GiB / 93.44GiB | gpu: 
13:06:40 | running | host: 15266M/95681M (16%) | cache: 5071M | docker: 2.491GiB / 93.44GiB | gpu: 
13:06:51 | running | host: 15205M/95681M (16%) | cache: 5072M | docker: 2.49GiB / 93.44GiB | gpu: 
13:07:02 | running | host: 15106M/95681M (16%) | cache: 5071M | docker: 2.491GiB / 93.44GiB | gpu: 
13:07:13 | running | host: 15024M/95681M (16%) | cache: 5057M | docker: 2.49GiB / 93.44GiB | gpu: 
13:07:25 | running | host: 15177M/95681M (16%) | cache: 5061M | docker: 2.508GiB / 93.44GiB | gpu: 
13:07:36 | running | host: 15100M/95681M (16%) | cache: 5061M | docker: 2.491GiB / 93.44GiB | gpu: 
13:07:47 | running | host: 15214M/95681M (16%) | cache: 5077M | docker: 2.508GiB / 93.44GiB | gpu: 
13:07:58 | running | host: 15849M/95681M (17%) | cache: 5114M | docker: 2.49GiB / 93.44GiB | gpu: 
13:08:09 | running | host: 15607M/95681M (16%) | cache: 5109M | docker: 2.49GiB / 93.44GiB | gpu: 
13:08:20 | running | host: 16090M/95681M (17%) | cache: 5130M | docker: 2.493GiB / 93.44GiB | gpu: 
13:08:31 | running | host: 16332M/95681M (17%) | cache: 5208M | docker: 2.49GiB / 93.44GiB | gpu: 
13:08:42 | running | host: 16079M/95681M (17%) | cache: 5211M | docker: 2.51GiB / 93.44GiB | gpu: 
13:08:53 | running | host: 15895M/95681M (17%) | cache: 5201M | docker: 2.495GiB / 93.44GiB | gpu: 
13:09:05 | running | host: 15781M/95681M (16%) | cache: 5193M | docker: 2.503GiB / 93.44GiB | gpu: 
13:09:16 | running | host: 15787M/95681M (16%) | cache: 5190M | docker: 2.507GiB / 93.44GiB | gpu: 
13:09:27 | running | host: 15660M/95681M (16%) | cache: 5152M | docker: 2.505GiB / 93.44GiB | gpu: 
13:09:38 | running | host: 15588M/95681M (16%) | cache: 5152M | docker: 2.496GiB / 93.44GiB | gpu: 
13:09:49 | running | host: 15494M/95681M (16%) | cache: 5158M | docker: 2.491GiB / 93.44GiB | gpu: 
13:10:00 | running | host: 15516M/95681M (16%) | cache: 5165M | docker: 2.491GiB / 93.44GiB | gpu: 
13:10:11 | running | host: 15397M/95681M (16%) | cache: 5161M | docker: 2.493GiB / 93.44GiB | gpu: 
13:10:23 | running | host: 15467M/95681M (16%) | cache: 5161M | docker: 2.49GiB / 93.44GiB | gpu: 
13:10:34 | running | host: 15479M/95681M (16%) | cache: 5158M | docker: 2.491GiB / 93.44GiB | gpu: 
13:10:45 | running | host: 15490M/95681M (16%) | cache: 5154M | docker: 2.491GiB / 93.44GiB | gpu: 
13:10:56 | running | host: 15356M/95681M (16%) | cache: 5146M | docker: 2.491GiB / 93.44GiB | gpu: 
13:11:07 | running | host: 15366M/95681M (16%) | cache: 5146M | docker: 2.494GiB / 93.44GiB | gpu: 
13:11:18 | running | host: 15399M/95681M (16%) | cache: 5146M | docker: 2.491GiB / 93.44GiB | gpu: 
13:11:29 | running | host: 15428M/95681M (16%) | cache: 5153M | docker: 2.49GiB / 93.44GiB | gpu: 
13:11:40 | running | host: 15509M/95681M (16%) | cache: 5150M | docker: 2.509GiB / 93.44GiB | gpu: 
13:11:52 | running | host: 15474M/95681M (16%) | cache: 5153M | docker: 2.493GiB / 93.44GiB | gpu: 
13:12:03 | running | host: 17149M/95681M (18%) | cache: 5182M | docker: 2.491GiB / 93.44GiB | gpu: 
13:12:14 | running | host: 16900M/95681M (18%) | cache: 5182M | docker: 2.491GiB / 93.44GiB | gpu: 
13:12:25 | running | host: 16860M/95681M (18%) | cache: 5182M | docker: 2.491GiB / 93.44GiB | gpu: 
13:12:36 | running | host: 16820M/95681M (18%) | cache: 5177M | docker: 2.498GiB / 93.44GiB | gpu: 
13:12:47 | running | host: 16835M/95681M (18%) | cache: 5180M | docker: 2.491GiB / 93.44GiB | gpu: 
13:12:58 | running | host: 16793M/95681M (18%) | cache: 5192M | docker: 2.495GiB / 93.44GiB | gpu: 
13:13:09 | running | host: 16739M/95681M (17%) | cache: 5186M | docker: 2.516GiB / 93.44GiB | gpu: 
13:13:20 | running | host: 28058M/95681M (29%) | cache: 13839M | docker: 11.33GiB / 93.44GiB | gpu: 
13:13:31 | running | host: 30147M/95681M (32%) | cache: 14625M | docker: 23.67GiB / 93.44GiB | gpu: 
13:13:43 | running | host: 29505M/95681M (31%) | cache: 14625M | docker: 23.67GiB / 93.44GiB | gpu: 
