13:25:41 | start | host: 17139M/95681M (18%) | cache: 14719M | docker: 867.3MiB / 93.44GiB | gpu: 
13:25:41 | start | host: 17314M/95681M (18%) | cache: 14719M | docker: 956.8MiB / 93.44GiB | gpu: 
13:25:52 | running | host: 18204M/95681M (19%) | cache: 14719M | docker: 1.52GiB / 93.44GiB | gpu: 
13:25:53 | running | host: 18201M/95681M (19%) | cache: 14722M | docker: 1.52GiB / 93.44GiB | gpu: 
13:26:03 | running | host: 27135M/95681M (28%) | cache: 14775M | docker: 1.679GiB / 93.44GiB | gpu: 
13:26:05 | running | host: 33406M/95681M (35%) | cache: 14780M | docker: 1.696GiB / 93.44GiB | gpu: 
13:26:14 | running | host: 32962M/95681M (34%) | cache: 14787M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:16 | running | host: 32918M/95681M (34%) | cache: 14786M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:25 | running | host: 31205M/95681M (33%) | cache: 14783M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:27 | running | host: 31042M/95681M (32%) | cache: 14783M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:36 | running | host: 30768M/95681M (32%) | cache: 14791M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:38 | running | host: 30727M/95681M (32%) | cache: 14791M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:47 | running | host: 30664M/95681M (32%) | cache: 14789M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:49 | running | host: 30646M/95681M (32%) | cache: 14789M | docker: 13.53GiB / 93.44GiB | gpu: 
13:26:58 | running | host: 30173M/95681M (32%) | cache: 14782M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:00 | running | host: 30169M/95681M (32%) | cache: 14782M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:09 | running | host: 30211M/95681M (32%) | cache: 14782M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:11 | running | host: 30038M/95681M (31%) | cache: 14777M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:21 | running | host: 30183M/95681M (32%) | cache: 14774M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:23 | running | host: 30146M/95681M (32%) | cache: 14782M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:32 | running | host: 30120M/95681M (31%) | cache: 14779M | docker: 13.54GiB / 93.44GiB | gpu: 
13:27:34 | running | host: 30094M/95681M (31%) | cache: 14779M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:43 | running | host: 30148M/95681M (32%) | cache: 14784M | docker: 13.54GiB / 93.44GiB | gpu: 
13:27:45 | running | host: 30138M/95681M (31%) | cache: 14784M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:54 | running | host: 30167M/95681M (32%) | cache: 14781M | docker: 13.53GiB / 93.44GiB | gpu: 
13:27:56 | running | host: 30191M/95681M (32%) | cache: 14781M | docker: 13.53GiB / 93.44GiB | gpu: 
13:28:05 | running | host: 30154M/95681M (32%) | cache: 14778M | docker: 13.54GiB / 93.44GiB | gpu: 
13:28:07 | running | host: 30143M/95681M (32%) | cache: 14780M | docker: 13.53GiB / 93.44GiB | gpu: 
13:28:16 | running | host: 30101M/95681M (31%) | cache: 14780M | docker: 13.53GiB / 93.44GiB | gpu: 
13:28:18 | running | host: 30076M/95681M (31%) | cache: 14778M | docker: 13.55GiB / 93.44GiB | gpu: 
13:28:27 | running | host: 30236M/95681M (32%) | cache: 14817M | docker: 13.54GiB / 93.44GiB | gpu: 
